,Unnamed: 0,word,start,end,duration,file,isPronoun,isPlural,isPreceding,isManner,isIntermediate,er,Annotation,Transformation,Comments,isReferent,isModifier,isAfterNoun,first_occur,referent,isTooLong,transOrd,Notsure,wordOrder,Comment,LongRef,code,story,part,condition,count,wordID
159,159,hij,161.68,161.75,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1419,,,6,3,2,pronoun,160,5
160,160,hij,162.49,162.53,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1422,,,6,3,2,pronoun,161,5
161,161,zijn,163.52,163.64,,20G2,1,,,,,,de derde broeder,,,1,1,,,een soldatenransel,,,,1427,,,6,3,2,pronoun,162,8
162,162,hem,166.31,166.39,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1437,,,6,3,2,pronoun,163,10
163,163,Hij,168.73,168.84,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1439,,,6,3,2,pronoun,164,5
164,164,hun,169.4,169.51,,20G2,1,,,,,,honderdvijftig man,,,,,,,,,,,1441,,,18,3,2,pronoun,165,15
165,165,zijn,170.02,170.18,,20G2,1,,,,,,de derde broeder,,,1,1,,,broers,,,,1445,,,6,3,2,pronoun,166,8
166,166,hun,175.61,175.81,,20G2,1,,,,,,broers,,,,,,,,,,,1462,,,17,3,2,pronoun,167,15
167,167,zij,178.03,178.28,,20G2,1,,,,,,broers,,,,,,,,,,,1468,,,17,3,2,pronoun,168,1
168,168,hij,178.71,178.87,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1471,,,6,3,2,pronoun,169,5
169,169,hun,185.67,185.81,,20G2,1,,,,,,broers,,,,,,,,,,,1488,,,17,3,2,pronoun,170,15
170,170,zij,187.65,187.75,,20G2,1,,,,,,de menschen,,,,,,,,,,,1495,,,19,3,2,pronoun,171,1
171,171,hij,193.49,193.68,,20G2,1,,,,,,den koning,,,,,,,,,,,1512,,,20,3,2,pronoun,172,5
172,172,zich,194.13,194.41,,20G2,1,,,,,,den koning,,,,,,,,,,,1514,,,20,3,2,pronoun,173,12
173,173,zijn,195.75,195.89,,20G2,1,,,,,,den koning,,,1,1,1,1,den kapitein met manschappen,,,,1520,,,20,3,2,pronoun,174,8
174,174,ze,203.51,203.61,,20G2,1,,,,,,den kapitein met manschappen,,,,,,,,,,,1543,,,21,3,2,pronoun,175,14
175,175,hij,211.14,211.31,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1560,,,6,3,2,pronoun,176,5
176,176,hem,213.31,213.4,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1567,,,6,3,2,pronoun,177,10
177,177,hij,217.21,217.29,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1578,,,6,3,2,pronoun,178,5
178,178,hij,221.6,221.75,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1589,,,6,3,2,pronoun,179,5
179,179,zijn,222.32,222.48,,20G2,1,,,,,,de derde broeder,,,1,1,,,een oud versleten hoedje,,,,1592,,,6,3,2,pronoun,180,8
180,180,zijn,222.9,223.06,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1595,,,6,3,2,pronoun,181,8
181,181,ik,234.2,234.27,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1619,,,6,3,2,pronoun,182,4
182,182,hij,235.98,236.31,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1623,,,6,3,2,pronoun,183,5
183,183,mij,237.84,237.98,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1627,,,6,3,2,pronoun,184,9
184,184,zijn,237.98,238.18,,20G2,1,,,,,,den koning,,,1,1,,1,de prinses,,,,1628,,,20,3,2,pronoun,185,8
185,185,ik,239.82,240.03,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1634,,,6,3,2,pronoun,186,4
186,186,zijn,240.22,240.54,,20G2,1,,,,,,den koning,,,,,,,,,,,1636,,,20,3,2,pronoun,187,8
187,187,zijn,245.88,246.05,,20G2,1,,,,,,den koning,,,1,1,,,de prinses,,,,1650,,,20,3,2,pronoun,188,8
188,188,ik,247.28,247.4,,20G2,1,,,,,,den koning,,,,,,,,,,,1654,,,20,3,2,pronoun,189,4
189,189,hem,248.14,248.28,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1658,,,6,3,2,pronoun,190,10
190,190,ik,249.67,249.76,,20G2,1,,,,,,den koning,,,,,,,,,,,1663,,,20,3,2,pronoun,191,4
191,191,mijn,250.97,251.07,,20G2,1,,,,,,den koning,,,,,,,,,,,1670,,,20,3,2,pronoun,192,7
192,192,hij,253.51,253.66,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1681,,,6,3,2,pronoun,193,5
193,193,haar,259.62,259.73,,20G2,1,,,,,,de prinses,,,1,1,,,de derde broeder,,,,1694,,,22,3,2,pronoun,194,18
